"text","context","label"
"даввай сделаем","Дашборда пока нет. Могу собрать аналитику по продажам. Построить?","dashboard"
"и исправь пустой виджет на столбчатую диаграмму, также переведи подписи на русский срочно","","dashboard"
"отсортируйкруговую диаграмму по возрастанию пожалуйста!!","На дашборде шесть виджетов: карточки, динамика заказов, продажи по странам, воронка, таблица топ-клиентов и средний чек.","dashboard"
"сранви клиентов за 2024 год заранее спасибо )","Могу подготовить виджет с более длинной цепочкой этапов. Могу подготовить конфигурацию под ваш выбор.","chat"
"сдела выгрузку оборот за этот год","","export"
"потом выведи остатки по офисам на дашборд срочно!!","","dashboard"
"сначала создай новый дашборд ок?","Могу подготовить эти данные файлом — Excel или CSV. Выгрузить?","dashboard"
"адвайте","Такой объём удобнее открыть в таблице — могу сделать выгрузку.","export"
"выкиньперед последний виджет и всё )","","dashboard"
"её раз","Виджет со средним чеком дублирует карточки — его стоит удалить. Обновить дашборд?","dashboard"
"быстро загрузи оборот по офисам в xls плиз...","На дашборде шесть виджетов: карточки, динамика заказов, продажи по странам, воронка, таблица топ-клиентов и средний чек.","export"
"давай что не так с дашбордом ожалуйста)","offer_none","chat"
"нужна карта по странам","Готов заменить круговую диаграмму на столбчатую — так читается лучше. Поменять?","dashboard"
"добавь график по регионам","Готово, файл с выгрузкой можно скачать по ссылке выше.","dashboard"
"слушай, экспорт прибыль по клиентам, и хочу эксель с клиентов по городам и всё","","export"
"надо что свего платежи если можно!","Могу добавить фильтр по датам ко всем виджетам. Применить?","chat"
"теперь скачай приибыль в ворд ок?","offer_export","export"
"можно скин выручку за 2024 год","","export"
"слушай, саздай новый дашборд по маркетингу","","dashboard"
"А перенеси платежи ф docx хорошо? )","Полный список из 340 клиентов удобнее смотреть в файле. Сделать выгрузку?","export"
"можешь переведи заголовки на английский. и ешё сделай аналитику по заказам заранее спасибо)","","dashboard"
"давай опробуем","Второй виджет показывает количество заказов по месяцам за последний год.","chat"
"Давайсоздай новый.","Готово, файл с выгрузкой можно скачать по ссылке выше.","dashboard"
"срочн поставь фильтр по категориям, также разверни третий виджет горизонтально )","","dashboard"
"выведи столбчатую диаграмму по клиенты сроччно...","Стоит перенести карточки наверх, а таблицу опустить вниз. Сделать так?","dashboard"
"будь добр сохранить остатки за прошлый месяц и выгрузи клиентов.","","export"
"что показывает третий виджет?","Готов заменить круговую диаграмму на столбчатую — так читается лучше. Поменять?","chat"
"можно выгрузить заказы в эксель и всё","Полный список из 340 клиентов удобнее смотреть в файле. Сделать выгрузку?","export"
"было бы отлинчо","Считать выручку с учётом возвратов или без?","chat"
"«Платежи по странам» добавь клиентов в этот виджет)","Виджет со средним чеком дублирует карточки — его стоит удалить. Обновить дашборд?","dashboard"
"согласен","Хочешь, чтобы я подготовил эти данные файлом?","export"
"не сейачс","Если хотите, добавлю фильтр по датам ко всем виджетам.","chat"
"Давай опусти пустой виджет вниз еслли можно","Предлагаю объединить карточки в один виджет вверху и убрать дубль. Применить?","dashboard"
"добавь график по регионам","offer_export","dashboard"
"хочу чтобы ты внеси карточки с прибыль, потом в «Средний чек» покажи ещё возвраты хорошо?!","","dashboard"
"давай да","Второй виджет показывает количество заказов по месяцам за последний год.","chat"
"Давай какие виджеты видиш и что они показывают ок?!!","По каким клиентам показать: по всем или только активным?","chat"
"угу","Данных о сотрудниках в подключённом источнике нет.","chat"
"хорошо давай","На дашборде шесть виджетов: карточки, динамика заказов, продажи по странам, воронка, таблица топ-клиентов и средний чек.","chat"
"сначала отсортируй пустой виджет по убыванию заранее спасибо","","dashboard"
"еслиможно, загрузи остатки в xlsx!","","export"
"их тоже","Могу подготовить эти данные файлом — Excel или CSV. Выгрузить?","export"
"ну сохранить платежи за неделю в ворд, а ещё подготовь таблицу платежи в word ок?)","","export"
"можешь в «Динамика количества заказов» покажи ещё средний чек плюс поставь пустой виджет первым хорошо? )","Готов построить дашборд с выручкой, заказами и топ-клиентами. Начинать?","dashboard"
"потомсделай первый виджет шире.","Готово, файл с выгрузкой можно скачать по ссылке выше.","dashboard"
"ещё откуда данные в виджете «Топ-10 клиентов по выручке» пожалуйста )","","chat"
"и перестрой карточки на график а также добавь диаграмму по кварталам","Могу подготовить виджет с более длинной цепочкой этапов. Могу подготовить конфигурацию под ваш выбор.","dashboard"
"если можно, отправь прибыль по регионам за этот год в excel хорошо?)","","export"
"отлично","На дашборде шесть виджетов: карточки, динамика заказов, продажи по странам, воронка, таблица топ-клиентов и средний чек.","chat"
"не стоит","Могу убрать виджеты, которые дублируют друг друга. Убрать?","chat"
"ещё стаит ли что-то убрать с дашборда можно?.","Вам нужна разбивка по месяцам или по кварталам?","chat"
"сначала перенеси заказы в ворд еси можно","Предлагаю объединить карточки в один виджет вверху и убрать дубль. Применить?","export"
"хорошшо","Второй виджет показывает количество заказов по месяцам за последний год.","chat"
"нужна переделай второй виджет на круговую диаграмму, также покажи на дашборде линейный график по годам срочно.","","dashboard"
"какие виджеты стоит добавить по логистике заранее спасибо )","Хочешь, чтобы я подготовил эти данные файлом?","chat"
"применяй","Такой отчёт лучше открыть в Excel. Подготовить файл?","export"
"валяй","Виджет со средним чеком дублирует карточки — его стоит удалить. Обновить дашборд?","dashboard"
"сохрани клиентов в csv","По этим данным хорошо ложится дашборд по клиентам и заказам. Собрать его?","export"
"конечно","Выручка за 2024 год составила 3,8 млн — на 12% больше прошлого года.","chat"
"аго","Могу подготовить эти данные файлом — Excel или CSV. Выгрузить?","export"
"а теперь","Хочешь, чтобы я подготовил эти данные файлом?","export"
"даа, конечно","Хотите, я объединю карточки в один блок и уберу дубль?","dashboard"
"построй дашборд по поставщикам, потом создай новый дашборд по маркетингу хорошо?!!","offer_none","dashboard"
"можешь заведи столбчатую диаграмму по офисам за март плюс сгруппируй прибыль по товарам и покажи графиком можно?!!","","dashboard"
"их отже","offer_dashboard","dashboard"
"мне нужно перечисли виджеты на дашборде плиз...","","chat"
"мне нужно сделай виджет с картой шире, также в виджет «Выручка по месяцам» добавь возвраты!!","","dashboard"
"давай попробуем","По этим данным хорошо ложится дашборд по клиентам и заказам. Собрать его?","dashboard"
"выгрузи заказы в excel","За какой период вас интересуют данные?","export"
"сохрани клиентов в csv","Что можно добавить: график выручки по месяцам, таблицу топ-товаров и воронку продаж. Применить предложенное?","export"
"нет, добавь вместо этого таблицу","Круговая диаграмма на 20 категориях нечитаема, лучше столбчатая. Поменять?","dashboard"
"давай попробуем","Всего в базе 122 клиента из 21 страны.","chat"
"продолжи","Могу подготовить эти данные файлом — Excel или CSV. Выгрузить?","export"
"не сечас","Выручка за 2024 год составила 3,8 млн — на 12% больше прошлого года.","chat"
"сохрани клиентов в csv","Могу подготовить эти данные файлом — Excel или CSV. Выгрузить?","export"
"А в «Топ-10 клиентов по выручке» покажи ещё продажи)","","dashboard"
"и экспорт платежи по регионам!!","","export"
"стап","За какой период вас интересуют данные?","chat"
"срачно загрузи клиентов в pdf!!","","export"
"потом создай новый дашборд по сотрудникам плюс в «Платежи по странам» покажи ещё продажи если можно!!","За какой период вас интересуют данные?","dashboard"
"ок","Готов построить дашборд с выручкой, заказами и топ-клиентами. Начинать?","dashboard"
"да, конечно","offer_dashboard","dashboard"
"хочу чтобы ты добавить фильтр по датам","","dashboard"
"если мажно, сделай диаграмму по категориям можно?!!","Готово, файл с выгрузкой можно скачать по ссылке выше.","dashboard"
"нет, добавь вместо этого таблицу","Что можно добавить: график выручки по месяцам, таблицу топ-товаров и воронку продаж. Применить предложенное?","dashboard"
"впердё","Вам нужна разбивка по месяцам или по кварталам?","chat"
"не стоит","Какой именно виджет вы имеете в виду — первый или второй?","chat"
"неверно","Готово, файл с выгрузкой можно скачать по ссылке выше.","chat"
"ещё раз","Могу перестроить дашборд под эти показатели. Сделать?","dashboard"
"го","Второй виджет показывает количество заказов по месяцам за последний год.","chat"
"срочно проанализируй выручку за прошлый месяц ок?","Могу подготовить виджет с более длинной цепочкой этапов. Могу подготовить конфигурацию под ваш выбор.","chat"
"давай сохрани это в xlsx, также посчитай платежи и экспортируй в эксель плиз","Могу подготовить виджет с более длинной цепочкой этапов. Могу подготовить конфигурацию под ваш выбор.","export"
"выгрузить выручку по годам в xls спасибо","По этим данным хорошо ложится дашборд по клиентам и заказам. Собрать его?","export"
"добавь график по регионам","Такой объём удобнее открыть в таблице — могу сделать выгрузку.","dashboard"
"давйа избавься от виджет «Топ-10 клиентов по выручке» срочно","","dashboard"
"повтори","Что можно добавить: график выручки по месяцам, таблицу топ-товаров и воронку продаж. Применить предложенное?","dashboard"
"сделай виджет с картой круговым срочно","За какой период вас интересуют данные?","dashboard"
"а потом выведи график по категориям а также сделай аналитику по заказам...","Хотите, я объединю карточки в один блок и уберу дубль?","dashboard"
"продолжай","Готов построить дашборд с выручкой, заказами и топ-клиентами. Начинать?","dashboard"
"Слушай, дай файлом прибыль по клиентам в pdf заранее спасибо!","","export"
"их тоже","Хочешь, чтобы я подготовил SQL-запросы под твою схему и добавил эти виджеты в дашборд?","dashboard"
"можешь стоит ли что-то убрат с дашборда пожалуйста )","","chat"
"создай новый","","dashboard"
"их тоже","Если хотите, добавлю фильтр по датам ко всем виджетам.","dashboard"
"пожалуйста оформи заказы по годам за прошлый месяц в pdf спасибо","Предлагаю объединить карточки в один виджет вверху и убрать дубль. Применить?","export"
"подготовь средний чек по регионам заранее спасибо!","Если хотите, добавлю фильтр по датам ко всем виджетам.","export"
"добавь график по регионам","Могу сохранить результат в PDF, чтобы отправить руководителю. Сформировать?","dashboard"
"было бы отллично","Дашборда пока нет. Могу собрать аналитику по продажам. Построить?","dashboard"
"можно оформи остатки документом ок?","Могу убрать виджеты, которые дублируют друг друга. Убрать?","export"
"подожди","","chat"
"ппогоди","offer_dashboard","chat"
"если можно, оформи заказы документом если можно.","","export"
"нужно","Рекомендую добавить динамику заказов по месяцам и разбивку по регионам. Добавить эти виджеты?","dashboard"
"тепер загрузи продажи пожалуйста!!","Хочешь, чтобы я подготовил эти данные файлом?","export"
"потом внеси таблицу по клиентам ок?)","","dashboard"
"Правильно ли считается продажи плюс кто ты такой ок?","","chat"
"переименуй третий виджет!!","","dashboard"
"было бы отлично","На дашборде шесть виджетов: карточки, динамика заказов, продажи по странам, воронка, таблица топ-клиентов и средний чек.","chat"
"нужно","Готов построить дашборд с выручкой, заказами и топ-клиентами. Начинать?","dashboard"
"ну давай","Могу сохранить результат в PDF, чтобы отправить руководителю. Сформировать?","export"
"давайте","Хотите, выгружу полный список файлом?","export"
"соглосен","Дашборда пока нет. Могу собрать аналитику по продажам. Построить?","dashboard"
"Если можно, есть ли аномалии в заказы)","","chat"
"кта ты такой заранее спасибо!!","Хочешь, чтобы я подготовил эти данные файлом?","chat"
"переименуй «Глобальные агрегаты» спасибо...","","dashboard"
"выгрузи заказы в excel","Могу сохранить результат в PDF, чтобы отправить руководителю. Сформировать?","export"
"ага","Вам нужна разбивка по месяцам или по кварталам?","chat"
"а сколько всего клиентов?","Считать выручку с учётом возвратов или без?","chat"
"нжно","По этим данным хорошо ложится дашборд по клиентам и заказам. Собрать его?","dashboard"
"сначала как менялись продажи за квартал? заранее спасибо )","","chat"
"пповтори","Виджет со средним чеком дублирует карточки — его стоит удалить. Обновить дашборд?","dashboard"
"слушай, нужен csv с заказы...","","export"
"Теперь скачай возвраты в excel можно?","Стоит перенести карточки наверх, а таблицу опустить вниз. Сделать так?","export"
"сохрани клиентов в csv","Если хотите, добавлю фильтр по датам ко всем виджетам.","export"
"Потом сгруппируй возвраты по годам и покажи гарфиком плиз","","dashboard"
"нне надо","Уточните, по всем регионам или только по одному?","chat"
"окей","На дашборде шесть виджетов: карточки, динамика заказов, продажи по странам, воронка, таблица топ-клиентов и средний чек.","chat"
"то же само","Могу подготовить виджет с более длинной цепочкой этапов. Могу подготовить конфигурацию под ваш выбор.","dashboard"
"продолжи","Если хотите, добавлю фильтр по датам ко всем виджетам.","dashboard"
"Давай какой по товарам лучший по выручка? и всё.","Готов построить дашборд с выручкой, заказами и топ-клиентами. Начинать?","chat"
"отмени","Такой отчёт лучше открыть в Excel. Подготовить файл?","chat"
"надо выггрузи всё в pdf спасибо.","","export"
"какие клиенты самые крупные а также проанализируй выручку за последние 3 емсяца","По каким клиентам показать: по всем или только активным?","chat"
"а мне надо excel с возвраты если можно","","export"
"можно покажи прибыль на дашборде. и ещё переделай график на график!","Предлагаю объединить карточки в один виджет вверху и убрать дубль. Применить?","dashboard"
"хочу чтабы ты отправь прибыль за этот год в ворд )","","export"
"было бы отлично","Виджет со средним чеком дублирует карточки — его стоит удалить. Обновить дашборд?","dashboard"
"откуда взялись цифры в второй виджет плиз.","Виджет со средним чеком дублирует карточки — его стоит удалить. Обновить дашборд?","chat"
"начинай","Если хотите, добавлю фильтр по датам ко всем виджетам.","dashboard"
"и это тоже","Считать выручку с учётом возвратов или без?","chat"
"Мне нужно оформи клиентов документом и всё)","Полный список из 340 клиентов удобнее смотреть в файле. Сделать выгрузку?","export"
"сначала потом нарисуй воронку по каттегориям!","","dashboard"
"а перенеси остатки ф xls","Могу подготовить эти данные файлом — Excel или CSV. Выгрузить?","export"
"давай сделай выгрузку средний чек","Хотите, я объединю карточки в один блок и уберу дубль?","export"
"загрузи клиентов в ppdf можно? )","Могу сохранить результат в PDF, чтобы отправить руководителю. Сформировать?","export"
"потом подсчитай оборот по регионам и сформируй в excel заранее спасибо.","Второй виджет показывает количество заказов по месяцам за последний год.","export"
"какие идеи есть по дашборду","Выручка за 2024 год составила 3,8 млн — на 12% больше прошлого года.","chat"
"валяй","Могу добавить фильтр по датам ко всем виджетам. Применить?","dashboard"
"теперь сравни виджет с продажами и ворой виджет )","По каким клиентам показать: по всем или только активным?","chat"
"сначала выгрузи виджет «Цена и расход по клиентам» в docx срочно)","Хотите, выгружу полный список файлом?","export"
"привет кто ты","Выручка за 2024 год составила 3,8 млн — на 12% больше прошлого года.","chat"
"сделай тепловую карту по месяцам","","dashboard"
"потом нужен pdf с остатки плиз)","Виджет со средним чеком дублирует карточки — его стоит удалить. Обновить дашборд?","export"
"быстро кто ты такой","offer_dashboard","chat"
"Сделайполную аналитику по всем параметрам если можно)","","dashboard"
"хочу чтобы ты что можешь рекомендовать что добавить ещё? ок?...","Могу сохранить результат в PDF, чтобы отправить руководителю. Сформировать?","chat"
"и выгрузи всё в excel можно?.","Если хотите, добавлю фильтр по датам ко всем виджетам.","export"
"можешь какие данные есть по городам? плиз","","chat"
"иэто тоже","Если хотите, добавлю фильтр по датам ко всем виджетам.","dashboard"
"Сгруппируй количество заказов по кварталам и покажи графиком заанее спасибо.","Хочешь, чтобы я подготовил эти данные файлом?","dashboard"
"и выгрузить оборот за этот год, потом подготовь таблицу оборот в xls ок?!!","Могу сохранить результат в PDF, чтобы отправить руководителю. Сформировать?","export"
"покажи топ 10 товаров","Такой отчёт лучше открыть в Excel. Подготовить файл?","chat"
"нужно сравни прибыль за прошлый месяц срочно.","Готов заменить круговую диаграмму на столбчатую — так читается лучше. Поменять?","chat"
"как в прошлый раз","Такой объём удобнее открыть в таблице — могу сделать выгрузку.","export"
"быстро отправь оборот за квартал пожалуйста.","Дашборда пока нет. Могу собрать аналитику по продажам. Построить?","export"
"теперь избавься от последдний виджет можно?","","dashboard"
"го","Хотите, я объединю карточки в один блок и уберу дубль?","dashboard"
"пожалуйста поставь фильтр по категориям срочно","Хочешь, чтобы я подготовил эти данные файлом?","dashboard"
"сделай тепловую карту на график срочно.","Считать выручку с учётом возвратов или без?","dashboard"
"будь добр поменяй цвета в третий виджет и покажи клиентов на дашборед","Стоит перенести карточки наверх, а таблицу опустить вниз. Сделать так?","dashboard"
"повтори","Круговая диаграмма на 20 категориях нечитаема, лучше столбчатая. Поменять?","dashboard"
"стоп","Полный список из 340 клиентов удобнее смотреть в файле. Сделать выгрузку?","chat"
"можно загрузи возвраты в csv хорошо?...","Выручка за 2024 год составила 3,8 млн — на 12% больше прошлого года.","export"
"можеш дай файл с количество заказов )","","export"
"а сделай отчёт по странам в pdf, потом сформируй оборот в csv плиз.","offer_dashboard","export"
"тк же","Могу собрать это в Excel и дать ссылку на скачивание. Подготовить?","export"
"сохрани клиентов в csv","Могу собрать это в Excel и дать ссылку на скачивание. Подготовить?","export"
"будь добр прикрути тепловую карту по менеджерам за этот год и всё","Могу добавить динамику по месяцам и топ товаров. Добавить их на дашборд?","dashboard"
"сделай","Какой именно виджет вы имеете в виду — первый или второй?","chat"
"можешь выгрузи таблицу по поставщикам если можно!!","Могу подготовить виджет с более длинной цепочкой этапов. Могу подготовить конфигурацию под ваш выбор.","export"
"идёт","Уточните, по всем регионам или только по одному?","chat"
"покажи топ 10 товаров","По этим данным хорошо ложится дашборд по клиентам и заказам. Собрать его?","chat"
"подожди","Какой именно виджет вы имеете в виду — первый или второй?","chat"
"сначала сделай отчёт по логистике ф word хорошо?!","По каким клиентам показать: по всем или только активным?","export"
"давайте","Могу добавить фильтр по датам ко всем виджетам. Применить?","dashboard"
"слушай, создай новый дашборд по поставшикам заранее спасибо","На дашборде шесть виджетов: карточки, динамика заказов, продажи по странам, воронка, таблица топ-клиентов и средний чек.","dashboard"
"применить","Всего в базе 122 клиента из 21 страны.","chat"
"построй дашборд по складу","Могу подготовить эти данные файлом — Excel или CSV. Выгрузить?","dashboard"
"угу","Хотите, выгружу полный список файлом?","export"
"отправь файлом","Стоит перенести карточки наверх, а таблицу опустить вниз. Сделать так?","export"
"Ещё верни как было и всё!!","","dashboard"
"можно сделай отчёт по менеджерам в csv срочно...","","export"
"нет, добавь вместо этого таблицу","Виджет со средним чеком дублирует карточки — его стоит удалить. Обновить дашборд?","dashboard"
"нужно переименуй «Средний чек» плиз!","Могу подготовить виджет с более длинной цепочкой этапов. Могу подготовить конфигурацию под ваш выбор.","dashboard"
"создай новый дашборд по маркетингу а также создай новый зараее спасибо)","","dashboard"
"А не нужен предпоследний виджет и всё","Готов заменить круговую диаграмму на столбчатую — так читается лучше. Поменять?","dashboard"
"в формате xls выгрузи продажи пожалуйста!!","","export"
"надо верни как было хорошо?!","","dashboard"
"теперь внеси карточки по поставщикам, потом сделай виджет со средним чеком на график срочно )","","dashboard"
"отправь клиентов по годам","Могу сохранить результат в PDF, чтобы отправить руководителю. Сформировать?","export"
"ну стоит ли что-то убрать с дашборда, а ещё какие таблицы есть в базе? и всё!!","","chat"
"а теперь","Могу сохранить результат в PDF, чтобы отправить руководителю. Сформировать?","export"
"да","Считать выручку с учётом возвратов или без?","chat"
"можно выгрузить оборот за неделю ф pdf )","","export"
"валяй","Всего в базе 122 клиента из 21 страны.","chat"
"сначала поставь виджет с картой вверх пожалуйста","offer_question","dashboard"
"дальше","Виджет со средним чеком дублирует карточки — его стоит удалить. Обновить дашборд?","dashboard"
"ещё создай новый срочно...","Второй виджет показывает количество заказов по месяцам за последний год.","dashboard"
"Нужно «Глобальные агрегаты» добавь оборот в этот виджет срочно","offer_none","dashboard"
"почему в втарой виджет такие цифры плиз!","","chat"
"ещё какой по товарам лучший по продажи? и какая продажи?","","chat"
"выгрузи заказы в excel","Хочешь, чтобы я подготовил эти данные файлом?","export"
"ну оцени мой дашборд, и откуда данные в виджете «Дианмика количества заказов»)","Могу добавить фильтр по датам ко всем виджетам. Применить?","chat"
"если можно, какие клиенты самые крупные заранее спасибо","","chat"
"нужно дай выводы по платежи за этто год","Хотите, я объединю карточки в один блок и уберу дубль?","chat"
"начинай","offer_export","export"
"выгрузи заказы в excel","Уточните, по всем регионам или только по одному?","export"
"добавь график по регионам","offer_question","dashboard"
"выгрузи заказы в excel","Круговая диаграмма на 20 категориях нечитаема, лучше столбчатая. Поменять?","export"
"ага","Дашборда пока нет. Могу собрать аналитику по продажам. Построить?","dashboard"
"надо объясни что делает каждый виджет","","chat"
"быстро какой по регионам лучший по оборот? хоррошо?","","chat"
"перестрой всё","","dashboard"
"давай стоит ли добавлять круговую диаграму? ок?","","chat"
"срочно убери дубли виджетов, также покажи прибыль на дашборде можно?!!","Что можно добавить: график выручки по месяцам, таблицу топ-товаров и воронку продаж. Применить предложенное?","dashboard"
"Чем прибыль? спасиба...","","chat"
"оставь как есть","Хотите, я объединю карточки в один блок и уберу дубль?","chat"
"хочу чтобы ты сделай файл количество заказов по клиентам в pdf плюс мне надо pdf с платежи хорошо? )","offer_question","export"
"слушай, выгрузи таблицу по кварталам хорошо?!","Рекомендую добавить динамику заказов по месяцам и разбивку по регионам. Добавить эти виджеты?","export"
"ещё раз","Вам нужна разбивка по месяцам или по кварталам?","chat"
"выгрузи виджет «Выручка по месяцам» в пдф, и сделай отчёт по поставщикам в excel плиз!!","Могу подготовить эти данные файлом — Excel или CSV. Выгрузить?","export"
"аналагично","offer_dashboard","dashboard"
"ну есть ли аномалии в оборот срочно!!","Если хотите, добавлю фильтр по датам ко всем виджетам.","chat"
"быстро построй дашборд по клиента месли можно.","","dashboard"
"нужен xlsx с клиентов срочно","","export"
"хорошо давай","Готов построить дашборд с выручкой, заказами и топ-клиентами. Начинать?","dashboard"
"надо создай таблицу о регионам!!","Могу убрать виджеты, которые дублируют друг друга. Убрать?","dashboard"
"мне нужно ты умеешь работать с поставщикам? плиз...","","chat"
"идётт","Круговая диаграмма на 20 категориях нечитаема, лучше столбчатая. Поменять?","dashboard"
"пожалуйста что оозначает виджет с картой и всё!!","Хотите, я объединю карточки в один блок и уберу дубль?","chat"
"нужно","offer_export","export"
"нужно нужен эксель с оборот спасибо.","Могу добавить фильтр по датам ко всем виджетам. Применить?","export"
"Что показывает виджет «Заказы по странам клиентов», и перечисли виджеты на дашборде ок?!","Выручка за 2024 год составила 3,8 млн — на 12% больше прошлого года.","chat"
"не сейчас","За какой период вас интересуют данные?","chat"
"давай не нужен виджет «Глобальные агрегаты» спасибо.","","dashboard"
"поехали","offer_none","chat"
"еслиможно, дай файлом средний чек за прошлый месяц.","Уточните, по всем регионам или только по одному?","export"
"Хочу чтобы ты дай ссылку на файл с средний чек!","","export"
"а нужен excel с средний чк и всё.","Что можно добавить: график выручки по месяцам, таблицу топ-товаров и воронку продаж. Применить предложенное?","export"
"было бы отлично","Второй виджет показывает количество заказов по месяцам за последний год.","chat"
"ещё дай файл с возвраты, также посчитай средний чек и экспортируй в эксел","Хотите, выгружу полный список файлом?","export"
"Создай навый дашборд срочно!!","","dashboard"
"отсортируй третий виджет по убыванию, а ешё сначала удалить последний виджет!!","","dashboard"
"мне нужно скинь прибыль в docx!!","","export"
"потом подготовь csv с выручку за квартал, и нужен word с заакзы можно?","","export"
"дай рейтинг клиентов по оплате в формате exel","Выручка за 2024 год составила 3,8 млн — на 12% больше прошлого года.","export"
"слушай, сдвинь третий виджет вниз...","Круговая диаграмма на 20 категориях нечитаема, лучше столбчатая. Поменять?","dashboard"
"слушай, покажи оборот на дашборде, а ещё создай тепловую карту по товарам плиз)","","dashboard"
"ну загрузи возвраты по менеджерам за 2024 год в word!!","","export"
"Потомчто показывает третий виджет? пожалуйста","Полный список из 340 клиентов удобнее смотреть в файле. Сделать выгрузку?","chat"
"нужно «Заказы по странам клиентов» добавь клиентов в этот виджет","","dashboard"
"можешь избавься от пустой виджет )","Стоит перенести карточки наверх, а таблицу опустить вниз. Сделать так?","dashboard"
"аналогично","Могу сохранить результат в PDF, чтобы отправить руководителю. Сформировать?","export"
"сначала сделай выгрузку астатки можно?!","","export"
"аналогично","По каким клиентам показать: по всем или только активным?","chat"
"покажи топ 10 товаров","Могу добавить динамику по месяцам и топ товаров. Добавить их на дашборд?","chat"
"обясни что делат каждый виджет","На дашборде шесть виджетов: карточки, динамика заказов, продажи по странам, воронка, таблица топ-клиентов и средний чек.","chat"
"срочно добавь тепловую карту по поставщикам!","Такой объём удобнее открыть в таблице — могу сделать выгрузку.","dashboard"
"повтори","Полный список из 340 клиентов удобнее смотреть в файле. Сделать выгрузку?","export"
"ну перенеси оборот в эксел.","Хочешь, чтобы я подготовил эти данные файлом?","export"
"хорошо давай","Всего в базе 122 клиента из 21 страны.","chat"
"можешь сохрани эт в pdf...","Могу подготовить виджет с более длинной цепочкой этапов. Могу подготовить конфигурацию под ваш выбор.","export"
